url_original,path_original,status_http,titulo_detectado,tipo_crawl,tipo_plan,url_destino_sugerida,confianza,motivo,prioridad_revision,accion_sugerida,nota
https://artiani.com.mx/producto/Tapa-para-pecera-de-40-cm-de-malla/TAPI-02,/producto/Tapa-para-pecera-de-40-cm-de-malla/TAPI-02,200,"Producto - Tapa para pecera de 40 cm de malla",producto_legacy,producto,,baja,coincidencia_insuficiente,media,revisar_manual,url_indexable_sin_equivalencia_confiable
https://artiani.com.mx/producto/Tapa-para-pecera-de-plastico-con-puerta-40-cm/TAP-02,/producto/Tapa-para-pecera-de-plastico-con-puerta-40-cm/TAP-02,200,"Producto - Tapa para pecera de plastico con puerta 40 cm",producto_legacy,producto,,baja,coincidencia_insuficiente,media,revisar_manual,url_indexable_sin_equivalencia_confiable
https://artiani.com.mx/producto/Tapa-para-pecera-de-platico-con-puerta-50cm/TAP-01,/producto/Tapa-para-pecera-de-platico-con-puerta-50cm/TAP-01,200,"Producto - Tapa para pecera de platico con puerta 50cm",producto_legacy,producto,,baja,coincidencia_insuficiente,media,revisar_manual,url_indexable_sin_equivalencia_confiable
https://artiani.com.mx/producto/Tapete-entrenador-chico-para-perro-/TAPS-01,/producto/Tapete-entrenador-chico-para-perro-/TAPS-01,200,"Producto - Tapete entrenador chico para perro",producto_legacy,producto,,baja,coincidencia_insuficiente,media,revisar_manual,url_indexable_sin_equivalencia_confiable
https://artiani.com.mx/producto/Tarta-preminum-snack-para-roedores-/TAR-01,/producto/Tarta-preminum-snack-para-roedores-/TAR-01,200,"Producto - Tarta preminum snack para roedores",producto_legacy,producto,,baja,coincidencia_insuficiente,media,revisar_manual,url_indexable_sin_equivalencia_confiable
https://artiani.com.mx/producto/Tazon-con-abrazadera-20-Oz-para-jaula/PACO-03,/producto/Tazon-con-abrazadera-20-Oz-para-jaula/PACO-03,200,"Producto - Tazon con abrazadera 20 Oz para jaula",producto_legacy,producto,,baja,coincidencia_insuficiente,media,revisar_manual,url_indexable_sin_equivalencia_confiable
https://artiani.com.mx/producto/Tazon-con-abrazadera-30-Oz-para-jaula/PACO-04,/producto/Tazon-con-abrazadera-30-Oz-para-jaula/PACO-04,200,"Producto - Tazon con abrazadera 30 Oz para jaula",producto_legacy,producto,,baja,coincidencia_insuficiente,media,revisar_manual,url_indexable_sin_equivalencia_confiable
https://artiani.com.mx/producto/Tazon-con-abrazadera-para-jaula-10-Oz/PACO-02,/producto/Tazon-con-abrazadera-para-jaula-10-Oz/PACO-02,200,"Producto - Tazon con abrazadera para jaula 10 Oz",producto_legacy,producto,,baja,coincidencia_insuficiente,media,revisar_manual,url_indexable_sin_equivalencia_confiable
https://artiani.com.mx/producto/Tazon_circulo_comedero_lento/TAZ-03,/producto/Tazon_circulo_comedero_lento/TAZ-03,200,"Producto - Tazon_circulo_comedero_lento",producto_legacy,producto,,baja,requiere_revision_manual,media,revisar_manual,url_indexable_sin_equivalencia_confiable
https://artiani.com.mx/producto/Tazon_doble_para_perros_y_gatos_/TAZ-1,/producto/Tazon_doble_para_perros_y_gatos_/TAZ-1,200,"Producto - Tazon_doble_para_perros_y_gatos_",producto_legacy,producto,,baja,coincidencia_insuficiente,media,revisar_manual,url_indexable_sin_equivalencia_confiable
