url,path,tipo_detectado,status,content_type,titulo,fuente
https://artiani.com.mx/producto/Filtro-Cascada-100/FILCC-04,/producto/Filtro-Cascada-100/FILCC-04,producto_legacy,200,"text/html; charset=UTF-8","Producto - Filtro Cascada 100",crawl
https://artiani.com.mx/producto/Filtro-Cascada-300/FILCC-05,/producto/Filtro-Cascada-300/FILCC-05,producto_legacy,200,"text/html; charset=UTF-8","Producto - Filtro Cascada 300",crawl
https://artiani.com.mx/producto/Isla-para-tortuguero-circular/ISLA-01,/producto/Isla-para-tortuguero-circular/ISLA-01,producto_legacy,200,"text/html; charset=UTF-8","Producto - Isla para tortuguero circular",crawl
https://artiani.com.mx/producto/Jaula-de-hamster-lux-verde-/JHA-05VE,/producto/Jaula-de-hamster-lux-verde-/JHA-05VE,producto_legacy,200,"text/html; charset=UTF-8","Producto - Jaula de hamster lux verde",crawl
https://artiani.com.mx/producto/Jaula-hamster-con-tubos-57-x-31-x-29-cm-/JHA-15,/producto/Jaula-hamster-con-tubos-57-x-31-x-29-cm-/JHA-15,producto_legacy,200,"text/html; charset=UTF-8","Producto - Jaula hamster con tubos 57 x 31 x 29 cm",crawl
https://artiani.com.mx/producto/Jaula-hamster-residencial-amarilla/JHA-26,/producto/Jaula-hamster-residencial-amarilla/JHA-26,producto_legacy,200,"text/html; charset=UTF-8","Producto - Jaula hamster residencial amarilla",crawl
https://artiani.com.mx/producto/Jaula-hamster-residencial-azul/JHA-25,/producto/Jaula-hamster-residencial-azul/JHA-25,producto_legacy,200,"text/html; charset=UTF-8","Producto - Jaula hamster residencial azul",crawl
https://artiani.com.mx/producto/Jaula-para-mamifero-decan-rosa-/JCO-04R,/producto/Jaula-para-mamifero-decan-rosa-/JCO-04R,producto_legacy,200,"text/html; charset=UTF-8","Producto - Jaula para mamifero decan rosa",crawl
https://artiani.com.mx/producto/Jaula-para-mamifero-decan-verde-/JCO-04V,/producto/Jaula-para-mamifero-decan-verde-/JCO-04V,producto_legacy,200,"text/html; charset=UTF-8","Producto - Jaula para mamifero decan verde",crawl
https://artiani.com.mx/producto/Jaula-para-mamifero-decan/JCO-04,/producto/Jaula-para-mamifero-decan/JCO-04,producto_legacy,200,"text/html; charset=UTF-8","Producto - Jaula para mamifero decan",crawl
