9,General,,,,,,
CODIGO,NOMBRE DEL PRODUCTO,PRECIO,EX.,MARCA,MP,P.SUG.,ROT
HG0185,BARRILES S/ROCAS 10X6X8 CM.,$46.04,8,HOBBY2,1,$92.08,AAA
HG1180,PUENTE MADERA 10X3X4 CM.,$46.04,10,HOBBY2,1,$92.08,AAA
HG1460,TOLTECA 6X4X3 CM.,$50.80,5,HOBBY2,1,$101.59,AAA
HG0075,BARCO GALEON #2 17X6X11 CM.,$55.23,12,HOBBY2,1,$110.47,AAA
HG0245,CRUSTACEO CASC. 10X6X8 CM.,$55.23,12,HOBBY2,1,$110.47,AAA
HG0520,CASTILLO POTHER 13X5X22 CM.,$55.23,12,HOBBY2,1,$110.47,AAA
HG0300,PIÑA BOB 7X9X12 CM,$55.23,16,HOBBY2,1,$110.47,AAA
HG0225,CASA CALAMARDO 6X8X14 CM.,$55.23,25,HOBBY2,1,$110.47,AAA
HG0180,TITANIC S/PIEDRAS 17X3X8 CM.,$55.24,8,HOBBY2,1,$110.47,AAA
HPR072,BARRIL 7X6X9 CM.,$60.93,1,HOBBY2,1,$121.86,AAA
HG0200,BEBEDERO PILA 13X13XX5 CM.,$64.44,3,HOBBY2,1,$128.89,AAA
HG1250,TRONCO ZEUS 11X11X14 CM.,$64.44,3,HOBBY2,1,$128.89,AAA
HG1015,ESTATUA LIBERTAD 6X6X16 CM.,$64.44,6,HOBBY2,1,$128.89,AAA
HG0765,ARRECIFE NEMO 13X5X19 CM.,$64.44,7,HOBBY2,1,$128.89,AAA
HG0265,JUEGO BOB 4X4X6 CM.,$64.44,9,HOBBY2,1,$128.89,AAA
HG1330,VOLCAN CON LAVA 16X18X14 CM.,$64.44,10,HOBBY2,1,$128.89,AAA
HG0340,CABAÑA DOBLE 17X8X17 CM.,$64.44,14,HOBBY2,1,$128.89,AAA
HPR085,PIÑA CHICA 8X9 CM.AIR.,$67.26,38,HOBBY2,1,$134.53,AAA
HG1370,BARCO PARTIDO 13X10X8 CM.,$68.04,7,HOBBY2,1,$136.06,AAA
HG0670,CATEDRAL ALAMO 17X11X28 CM.,$73.66,3,HOBBY2,1,$147.32,AAA
HG0995,TUTANKAMON 7X10X15 CM.,$73.66,4,HOBBY2,1,$147.32,AAA
HG0125,BARCO PIRATA 12X6X14 CM.,$73.66,5,HOBBY2,1,$147.32,AAA
HG1060,ISLA CHICA P/TORT. 16X5X11 CM.,$73.66,40,HOBBY2,1,$147.32,AAA
HPR086,CASA CALAMARDO 8X9 CM.AIR.,$74.18,12,HOBBY2,1,$148.36,AAA
HG1425,CABEZA COCODRILO 14X6X4CM. C/AER.,$76.20,4,HOBBY2,1,$152.40,AAA
HG0305,PIÑA BOB 9X10X24 CM.,$82.87,3,HOBBY2,1,$165.74,AAA
HG1020,ESTATUA LIBERTAD 8X8X26 CM.,$82.87,3,HOBBY2,1,$165.74,AAA
HG0230,CASA CALAMARDO 8X10X18 CM.,$82.87,4,HOBBY2,1,$165.74,AAA
HG1340,VOLCAN VEGETACION 17X17X22 CM.,$82.87,10,HOBBY2,1,$165.74,AAA
HG1365,CASTILLO 2 PICOS  19X12X9 CM.,$83.16,12,HOBBY2,1,$166.29,AAA
HG0720,ARRECIFE 1 ARCO 13X6X11 CM.,$92.08,2,HOBBY2,1,$184.16,AAA
HG0690,COFRE ACCION 13X11X15 CM. AIR.,$92.08,3,HOBBY2,1,$184.16,AAA
HG1095,CABAÑA-MOLINO 8X9CM.AIR.,$92.08,8,HOBBY2,1,$184.16,AAA
HG1035,FOSIL TIRANOSAURIO 11X4X14 CM.,$92.08,9,HOBBY2,1,$184.16,AAA
HG0215,BOB PIRATA 12X9X19 CM. AIR.,$92.08,11,HOBBY2,1,$184.16,AAA
HG1475,BOCHO 19X10X10 CM.,$93.13,2,HOBBY2,1,$186.27,AAA
HG1185,PUENTE MADERA 16X5X11 CM.,$101.27,4,HOBBY2,1,$202.55,AAA
HPR025,ARRECIFE NEMO 14X10 CM.AIR.,$104.96,13,HOBBY2,1,$209.93,AAA
HG1480,COMBI 22X14X11 CM.,$110.07,8,HOBBY2,1,$220.14,AAA
HG0385,COCODRILO 29X4X5 CM. AIR.,$110.49,3,HOBBY2,1,$220.98,AAA
HG0425,CRANEO ARAÑA 12X20X15 CM.,$110.49,3,HOBBY2,1,$220.98,AAA
HG1100,MOLINO CON FARO 11X6X13 CM. AIR.,$110.49,4,HOBBY2,1,$220.98,AAA
HG1070,ISLA PIEDRA 22X13X22 CM.,$110.49,6,HOBBY2,1,$220.98,AAA
HG1160,PIEDRA C/CALAV. 12X17CM.,$110.49,7,HOBBY2,1,$220.98,AAA
HG1190,PUENTE MEXICO 22X10X17 CM.,$110.49,7,HOBBY2,1,$220.98,AAA
HG1390,COFRE DEL TESORO 12X14X10 CM.,$114.30,4,HOBBY2,1,$228.61,AAA
HG0750,ARRECIFE 17X7X22 CM.,$119.70,5,HOBBY2,1,$239.40,AAA
HG0880,DINO. ESQUELETO 30X14 CM.,$119.70,5,HOBBY2,1,$239.40,AAA
HG1445,TRONCO MEDIANO 30X12X14 CM.,$127.00,4,HOBBY2,1,$253.99,AAA
HG0485,CASTILLO DISNEY 35X10X30 CM.,$128.91,4,HOBBY2,1,$257.82,AAA
HG0490,CAST.GRAYSCOL 18X12X15 CM.,$128.91,5,HOBBY2,1,$257.82,AAA
HG1220,TORRE OLIMPICA 10X5X18 CM.,$128.91,5,HOBBY2,1,$257.82,AAA
HG0890,ESQUELETO ARMAB. 45X14CM.,$128.91,6,HOBBY2,1,$257.82,AAA
HG1335,VOLCAN CON LAGO 24X24X17 CM.,$128.91,6,HOBBY2,1,$257.82,AAA
HG0785,CORAL ABANICO 25X3X17 CM.,$128.91,14,HOBBY2,1,$257.82,AAA
HG1430,TRONCO GRANDDE 25X16X25 CM.,$135.47,1,HOBBY2,1,$270.92,AAA
HG1440,TRONCO SOBRE ROCAS 25X14X27 CM.,$135.47,6,HOBBY2,1,$270.92,AAA
HG1385,COLISEO 12X21X18 CM.,$136.74,5,HOBBY2,1,$273.48,AAA
HG0390,COCODRILO PANTANO 22X17X5CM.AIR.,$138.12,3,HOBBY2,1,$276.24,AAA
HG0845,CORAL NEMO/DORY 15X20X12 CM.,$147.32,1,HOBBY2,1,$294.64,AAA
HG0975,SANZON 16X8X22 CM.,$147.32,2,HOBBY2,1,$294.64,AAA
HG1040,FOSIL TIRANOSAURIO 28X4X18 CM.,$147.32,6,HOBBY2,1,$294.64,AAA
HG1150,PIEDRA ARIZONA 20X14X21 CM.,$147.32,7,HOBBY2,1,$294.64,AAA
HG1170,RISCO 17X11X31 CM.,$147.32,7,HOBBY2,1,$294.64,AAA
HG0255,CRUSTACEO 20X11X21 CM.,$147.32,20,HOBBY2,1,$294.64,AAA
HG1410,BARCO MASTIL PARTIDO 21X11X27 CM.,$152.40,6,HOBBY2,1,$304.80,AAA
HG0270,JUEGO DE DORYS 8X5X6 CM.,$156.53,7,HOBBY2,1,$313.06,AAA
HPR223,ARRECIFE NEMO 17X19 CM.AIR.,$158.75,10,HOBBY2,1,$317.51,AAA
HG1450,ANUBIS 7X5X29 CM.,$160.87,7,HOBBY2,1,$321.73,AAA
HPR237,BUDA CON LISTON 22 X 23 CM.,$166.28,4,HOBBY2,1,$332.57,AAA
HPR126,SUBMARINO 34X19 CM.AIR.,$175.03,1,HOBBY2,1,$350.06,AAA
HG1255,COCOS 16X17X13 CM.,$184.16,2,HOBBY2,1,$368.32,AAA
HG0365,CABEZA REX 23X12X11 CM.,$184.16,5,HOBBY2,1,$368.32,AAA
HG1380,PEÑASCO CON BARCO 27X27X15 CM.,$188.99,6,HOBBY2,1,$377.99,AAA
HG1455,CENTAURO 22X10X28 CM.,$194.74,2,HOBBY2,1,$389.48,AAA
HG0140,BARCO PULPO 22X7X20 CM.,$202.57,9,HOBBY2,1,$405.14,AAA
HPR149,NEPTUNO 15X8X35 CM.,$209.94,12,HOBBY2,1,$419.89,AAA
HG1105,MOLINO 20X12X8 CM. AIR.,$211.78,4,HOBBY2,1,$423.56,AAA
