9,General,,,,,,
CODIGO,NOMBRE DEL PRODUCTO,PRECIO,EX.,MARCA,MP,P.SUG.,ROT
MP8985,COLLAR DE PIEL NO.6,$83.67,11,MYPET,1,$167.34,AAA
LC1001-15,*COLLAR/CORREA SENC. 15MM,$88.82,400,MYPET,100,$177.60,AAA
15036,*CORREA METAL VINIPIEL 1 MT.,$99.02,135,MYPET,100,$197.55,AAA
MP8991,BOZAL DE PIEL CHICO,$102.49,5,MYPET,1,$204.99,AAA
15104-7,BOZAL DE PLASTICO G.,$108.23,84,MYPET,100,$216.43,AAA
10503,*COLL./CORREA ARCOIRIS C/CASC.,$109.28,559,MYPET,500,$218.36,AAA
LC2001-15,*COLLAR/CORREA REFLECT.15MM.,$112.71,312,MYPET,100,$225.22,AAA
MP8971,PECHERA DE PIEL NO.2,$115.06,6,MYPET,1,$230.12,AAA
10504,*PECHERA/CORREA ARCOIRIS,$116.94,409,MYPET,250,$233.80,AAA
MP8972,PECHERA DE PIEL NO.3,$121.04,2,MYPET,1,$242.09,AAA
MP8992,BOZAL DE PIEL MEDIANO,$123.43,2,MYPET,1,$246.87,AAA
MP6018,COLLAR ISABELINO #5 20CM.,$127.60,1,MYPET,1,$255.20,AAA
MP8973,PECHERA DE PIEL NO.4,$133.13,2,MYPET,1,$266.26,AAA
15105,CORREA TIPO RESORTE MED.(OF),$136.20,11,MYPET,46,$272.20,AAA
LH1001-15,*PECHERA/CORREA SENC. 15MM,$136.35,212,MYPET,100,$272.62,AAA
MP8993,BOZAL DE PIEL GRANDE,$140.13,3,MYPET,1,$280.27,AAA
MP8974,PECHERA P/PERROS NO.5,$173.66,7,MYPET,1,$347.32,AAA
LH2001-15,*PECHERA/CORREA REFLECT.15MM.,$176.91,199,MYPET,100,$353.71,AAA
MP8975,PECHERA P/PERROS NO.6,$200.57,8,MYPET,1,$401.15,AAA
PMCH,PECHERA MEZCLILLA CH.,$133.98,3,,,$267.96,AA
PMMED,PECHERA MEZCLILLA MED.,$133.98,4,,,$267.96,AA
PMGDE,PECHERA MEZCLILLA GDE.,$133.98,5,,,$267.96,AA
P576,REPELENTE PERROS Y G.250 ML.,$54.31,8,BIOMAA,12,$108.62,AAA
P577,ATRAYENTE PUPPIES 250ML,$54.31,16,BIOMAA,12,$108.62,AAA
FL7171,TAPETE ENTRENADOR 7 PZ,$63.23,7,FANCY PETS,1,$126.46,AAA
FL3770,REPELENTE P/PERROS 300 ML,$64.46,5,FANCY PETS,1,$128.92,AAA
NA110,ATRAYENTE P/CACHORROS 500 ML,$65.69,7,FANCY PETS,1,$131.38,AAA
FL1912,PAÑALES CH P/PERRO 12 PZ,$114.30,4,FANCY PETS,1,$228.58,AAA
FL1913,PAÑAL MED P/PERRO 12 PZ,$164.15,4,FANCY PETS,1,$328.30,AAA
FL7991,REPUESTO DOGGIE GRASS CH,$189.46,2,FANCY PETS,,$378.92,AA
FL7990,DOGGIE GRASS CH 68X43 CM,$558.35,2,FANCY PETS,,"$1,116.70",AA
FL7992,DOGGIE GRASS GDE 76X50 CM,$764.88,2,FANCY PETS,,"$1,529.76",AA
FL7165,TOALLITAS PERRO Y GATO 40 PZ,$38.91,3,LOMAS,,$77.83,AA
FL1902,CALZON P/TOALLA SANITARIA CH,$64.43,2,LOMAS,,$128.87,AA
FL1903,CALZON P/TOALLA SANITARIA MED,$71.74,3,LOMAS,,$143.49,AA
FL1904,CALZON P/TOALLA SANITARIA GDE,$77.85,2,LOMAS,,$155.71,AA
FL1911,PAÑALES P/PERRO XCH 12 PZAS,$107.01,2,LOMAS,,$214.02,AA
FL1914,PAÑALES P/PERRO GDE 12 PZAS,$193.33,3,LOMAS,,$386.67,AA
FL7993,REP. DOGGIE GRASS 76 X 50 CM.,$262.03,2,LOMAS,1,$524.06,AA
MP6542,PAD ENTRENADOR 30X45CM.(100),$4.47,22108,MYPET,800,$8.79,AAA
MP6542-8,*PAD ENTRENADOR PERROS(8)30X45,$40.11,49,MYPET,18,$80.22,AAA
MP6543-7,*PAD ENTRENADOR PERROS(7)58X58,$46.95,95,MYPET,18,$93.91,AAA
MP6543-XL,PAD ENTRENADOR 60X90CM. 20PZ.,$311.22,61,MYPET,1,$622.05,AAA
MP6543-M,PAD ENTRENADOR 45X60 CM. 50 PZ.,$311.22,160,MYPET,1,$622.05,AAA
MP6543-L,PAD ENTRENADOR 60X60 CM. 40 PZ.,$311.22,169,MYPET,1,$622.05,AAA
MP6543-S,PAD ENTRENADOR 33X45 CM. 100 PZ.,$346.32,82,MYPET,1,$692.19,AAA
TR1764,REPELENTE PERROS 500 ML,$114.10,18,TORNADO,15,$228.21,AAA
FL3928,COMPLETE MOBILITY P/PERROS - 60 TAB,$314.94,2,FANCY PETS,,$629.88,AAA
WYD36,JAULA REF. 45X31X38CM.(OF),$395.12,49,CAGELAND,1,$790.21,AAA
WYD09,JAULA REF. 61X44X50CM.(OF),$618.06,35,CAGELAND,1,"$1,235.94",AAA
510K,JAULA REF. 90X61X72 CM.(OF),"$1,448.63",86,CAGELAND,1,"$2,897.25",AAA
US0608,JAULA REF.RUEDAS 78X48X66CM.(OF),"$1,940.99",29,CAGELAND,1,"$3,881.59",AAA
WYD35,JAULA REF. 106X72X81 CM.(OF),"$2,257.79",41,CAGELAND,1,"$4,515.43",A
F510,JAULA C/RUEDAS 91X61X85 CM.(OF),"$2,811.91",14,CAGELAND,1,"$5,623.76",AAA
US0609,JAULA REF.RUEDAS 110X72X86CM.(OF),"$3,131.99",19,CAGELAND,1,"$6,263.61",AAA
1328,JAULA 107X70X77CM C/DIV.2PTAS.,"$2,477.89",3,GO DOG,1,"$4,955.77",AAA
1330,JAULA 122X74X80CM C/DIV.2PTAS.,"$2,818.32",2,GO DOG,1,"$5,636.62",AAA
10210,JAULA 60X42X50 NEGRA,$927.82,4,SEVENPET,1,"$1,855.62",AAA
10229,JAULA 76X48X56 GRIS/AZUL,"$1,177.92",2,SEVENPET,1,"$2,355.84",AAA
10220,JAULA 93X56X55 NEGRA,"$1,825.19",6,SEVENPET,1,"$3,650.38",AAA
60089,PELOTA P/PERROS 7 CM.(OF),$82.85,196,BIOPRO,1,$165.59,AAA
FL8507,JUGUETE DE CAUCHO CHUPON,$14.59,14,FANCY PETS,1,$29.18,AAA
FL8505,JUGUETE PESCADO DE CAUCHO,$15.19,9,FANCY PETS,1,$30.39,AAA
FL8503,JUGUETE HUESO DE CAUCHO C/HOYOS,$20.67,7,FANCY PETS,1,$41.34,AAA
FL8509,JUGUETE HUESO DE CAUCHO C/HUELLAS,$20.67,8,FANCY PETS,1,$41.34,AAA
FL8501,JUGUETE CAUCHO ARGOLLA/JALADERA,$23.10,2,FANCY PETS,1,$46.21,AAA
FL8506,JUGUETE CAUCHO ARO TRICOLOR,$25.54,13,FANCY PETS,1,$51.08,AAA
FL7269,JUGUETE HUESO HILO 30 CM.,$36.49,4,FANCY PETS,1,$72.98,AAA
FL7270,JUGUETE HUESO HILO 40 CM.,$43.82,3,FANCY PETS,1,$87.64,AAA
FL9321,JUGUETE HUESO BAMBU PLUS CH SABOR POLLO,$51.07,2,FANCY PETS,1,$102.15,AAA
FL8755,JUGUETE PELOTA CH. C/SONIDO,$54.72,4,FANCY PETS,1,$109.45,AAA
FL7154,PELOTA CH DE TENIS C/SQUEAKER - 3 PZ,$58.37,4,FANCY PETS,1,$116.74,AAA
FL8756,PELOTA FLEXIBLE GDE. C/SONIDO,$63.23,2,FANCY PETS,1,$126.46,AAA
FL8787,JUGUETE PESA CH GLOW,$64.43,1,FANCY PETS,1,$128.87,AAA
FL7155,PELOTA MED DE TENIS C/SQUEAKER - 3 PZ,$71.78,2,FANCY PETS,1,$143.56,AAA
FL8761,JUGUETE DENTAL SABOR TOCINO CH,$81.50,3,FANCY PETS,1,$163.00,AAA
FL8789,JUGUETE PELOTA GLOW,$89.98,1,FANCY PETS,1,$179.96,AAA
AT-0021,*HUESO DE HILO SENCILLO 23 CM,$19.40,119,MYPET,100,$38.61,AAA
AT-002125,*HUESO DE HILO SENCILLO 28 CM,$23.38,107,MYPET,1,$46.76,AAA
AT-237,*HUESO PLASTICO HILOS 51 CM,$27.12,309,MYPET,100,$54.05,AAA
60057,*MINI ERIZO DE GOMA,$27.60,70,MYPET,100,$54.69,AAA
AT-0048V,*PELOTA DE HILO 6CM,$27.61,268,MYPET,100,$55.12,AAA
60009,*SALCHICHA C/CUERDA,$29.60,372,MYPET,500,$59.20,AAA
60054,*BALON SOCCER CON HUESOS IMPR.,$31.84,351,MYPET,250,$63.49,AAA
60042,*BOLA ANIMAL CON PELOS NO.4,$33.08,418,MYPET,200,$65.63,AAA
60018,*BALON HUELLA RESALTADA CH.,$34.83,474,MYPET,100,$69.49,AAA
60003,JUGUETE DE PIERNA DE POLLO,$35.07,48,MYPET,100,$69.49,AAA
EV107,*HAMBURGUESA MEDIANA,$35.33,331,MYPET,210,$70.57,AAA
60016,*BALON SOCCER MED.,$35.82,500,MYPET,100,$70.99,AAA
AT-223V,*TIRON C/AGARR. Y PELOTA 34CM,$35.83,205,MYPET,250,$71.64,AAA
70016,*JUGUETE PERROS FREEZBE(OF),$36.56,236,MYPET,216,$72.50,AAA
T072,JUG. NUDO C/CASCABEL 7 CM.,$38.81,761,MYPET,144,$77.43,AAA
60004,*PIERNA DE CERDO DE GOMA,$39.56,431,MYPET,100,$78.93,AAA
60086,PELOTA CARITA PERROS 6 CM.(OF),$40.55,118,MYPET,1,$81.08,AAA
EV079,*BALON AMERICANO 26 CM.,$41.55,171,MYPET,230,$83.01,AAA
60051,*BALON SOCCER C/CUERDA 26 CM.,$42.05,303,MYPET,250,$84.08,AAA
60026,*HUESO C/ HUELLA IMPRESA CH.,$42.79,219,MYPET,125,$85.58,AAA
AT-244,*TIRON L.C/AGARR. Y PELOTA 41CM,$43.04,52,MYPET,100,$86.01,AAA
AT-002130,*HUESO DE HILO SENCILLO 33 CM.,$44.04,155,MYPET,1,$87.94,AAA
EV082,*BALON BASKET C/CUERDA 26 CM.,$44.04,242,MYPET,200,$87.94,AAA
AT-0166,*TIRON DE HILO 3 NUDOS 54 CM,$47.77,125,MYPET,250,$95.45,AAA
60037,JUGUETE LLANTA HUESOS(OF),$49.25,149,MYPET,50,$98.02,AAA
AT-0184,*TIRON HILO FIG.8 Y PELOTA 34CM.,$51.50,69,MYPET,100,$102.96,AAA
60031,*MANCUERNA CON PELOS/HUELLAS,$54.49,469,MYPET,100,$108.96,AAA
SZ02,B.FUTBOL AME. LUZ/SONIDO 15X8CM.,$84.34,918,MYPET,80,$168.59,AAA
60091,PELOTA RETORNO PERROS 6CM.(OF),$86.14,94,MYPET,1,$172.02,AAA
50425,HUESO GRANDE C/SONIDO 22X6CM,$37.46,7,SEVENPET,6,$74.93,AAA
50427,HUESO PORTA PREMIOS 11CM.,$37.46,7,SEVENPET,6,$74.93,AAA
1294,JUGUETES VINYL GRANJA 3PZS,$107.09,4,SEVENPET,12,$214.18,AAA
C0050,COMPLEJO B C/HIGADO 10 ML,$35.95,93,ARANDA,10,$83.40,AA
0969,DESPARASITANTE IVERFULL 10 ML,$38.37,21,ARANDA,10,$89.01,AAA
1415,CICATRIZANTE SANITOR120ML.ECO.,$42.84,9,ARANDA,6,$99.38,A
0051,COMPLEJO B REFORZADO 10 ML,$46.12,24,ARANDA,10,$106.99,A
1018,ENROZOL TONICO VIAS R. 10%,$55.84,30,ARANDA,6,$129.54,AA
0175,DESINFECTANTE HERIDAS 120ML.,$69.61,25,ARANDA,20,$161.49,AA
0024,BALSAMO BCO ANESTESICO 100G,$71.60,19,ARANDA,24,$166.11,AA
0076,ANTIDEARREICO KEOSUL 120 ML,$84.15,5,ARANDA,6,$195.22,A
0233,PERVINAL JARABE C/VIT. 250 ML,$109.39,10,ARANDA,6,$253.78,AAA
C0080,LASARNOL (SARNICIDA) 120 ML,$128.68,6,ARANDA,6,$298.53,AAA
0955,SHAMPOO ZABILA(CABALLO)1LTS,$192.09,6,ARANDA,1,$445.64,AAA
6099,NECAIN ARANDA PETS 10ML.,$40.69,10,ARANDA PET,1,$94.40,AAA
6165,PERVINAL JARABE 100 ML.,$54.65,6,ARANDA PET,1,$126.78,AAA
6157,LASARNOL TOPICO 30 ML.,$57.55,6,ARANDA PET,1,$133.51,AAA
6379,SANITOR FORTE ARANDA PETS 120ML,$61.62,5,ARANDA PET,1,$142.95,AAA
6158,PARAFEN SUSP. 3% ARANDA PETS 60ML,$65.69,6,ARANDA PET,1,$152.40,AAA
6128,ANTIPULGAS TALCO 100GR.,$66.27,6,ARANDA PET,1,$153.74,AAA
6152,RAN-TAC ARANDA PETS 100ML,$76.74,7,ARANDA PET,1,$178.03,AAA
6380,KEOSUL ARANDA PETS 120ML,$86.62,3,ARANDA PET,1,$200.95,AAA
6103,DEXTRIMAZOL 40 GR.,$87.79,8,ARANDA PET,1,$203.67,AAA
6156,IVERFULL 10KG ARANDA PETS 12TABS,$94.76,5,ARANDA PET,1,$219.84,AAA
6407,DIRO PETS PUPPY ANTIPARASITOS,$50.58,16,CP MAX,15,$117.34,AAA
6406,DIRO PETS REF.ANTIPARASITOS,$63.37,23,CP MAX,15,$147.01,AAA
6405,DIRO PETS INYEC.ANTIPARASITOS,$64.53,7,CP MAX,15,$149.70,AA
6409,ETI PETS (AURICIL),$75.00,6,CP MAX,6,$174.00,AAA
6408,ALVEUM,$86.62,12,CP MAX,1,$200.95,AAA
6080,LAXA PET(LAXANTE)100G,$101.74,8,CP MAX,1,$236.03,AAA
1288,FORTEX RECOVERY SUPLEMENTO 32 GR.,$109.88,10,CP MAX,1,$254.92,AA
238,FORTEX 50 TABS. SUPLEMENTO,$133.14,10,CP MAX,1,$308.88,AAA
FL3925,MS SPRAY ANTIPRURITICO 125 ML,$36.48,1,FANCY PETS,1,$72.97,AAA
FL3934,JABON 125 ML ANTISEPTICO,$41.34,3,FANCY PETS,1,$82.68,AAA
FL3948,MS POLVO HEMOSTATICO 14 GR.,$46.20,2,FANCY PETS,1,$92.40,AAA
FL3936,TAB.MASTICABLES MULTIVIT. 60PZ.,$145.91,2,FANCY PETS,,$291.83,AAA
FL3937,MS COMPLETE GROWTH P/PERROS - 60 TAB,$217.66,2,FANCY PETS,1,$435.32,AAA
0485,*JERINGA DOSIF. 60 CC.(OF),$94.03,24,LIXIT,36,$187.47,AA
FL8754,JUGUETE PESA C/SONIDO G.,$72.95,2,LOMAS,,$145.90,AAA
MP6025,TIRAS PASTILLAS CHICO,$55.50,1,MYPET,1,$111.01,AAA
MP6026,TORNIQUETE DE PLASTICO Y HULE,$61.24,4,MYPET,1,$122.49,AAA
MP6024,TIRAS PASTILLA GRANDE,$70.81,2,MYPET,1,$141.63,AAA
MP6023,TALCO OTICO 60 GR.,$76.56,2,MYPET,1,$153.12,AAA
50420,DIJE PORTADATOS P/MASCOTA,$13.93,5,ECO PET,10,$27.86,AAA
FL7161,BOLSAS SANITARIAS 60 PZ,$32.83,6,FANCY PETS,1,$65.67,AAA
FL3986,DESINFECTANTE P/PATAS 125 ML.,$35.29,7,FANCY PETS,1,$70.59,AAA
FL7160,DISPENSADOR C/30 BOLSAS DES.,$45.00,3,FANCY PETS,1,$90.01,AAA
FL8565,CLICKER P/ENT.C/PULSERA,$47.76,1,FANCY PETS,12,$95.53,AAA
FL3996,ESP. P/BAÑO EN SECO EXPERT 300G,$114.30,6,FANCY PETS,12,$228.61,AAA
FL3854,ESPUMA BAÑO EN SECO 300 GR,$120.41,1,FANCY PETS,1,$240.83,AAA
FL3853,ESPUMA REP.P/BAÑO EN SECO 300G,$143.53,17,FANCY PETS,12,$287.07,AAA
HD70990,*SILBATO P/PERROS 6 CM.,$108.21,2,HAGEN,,$216.43,AA
JI009,RECOGEDOR DE PLASTICO MINI8,$65.74,13,JIGAE,,$131.47,AAA
0473,CHUPON BIBERON 1 LTO.(OF),$42.55,15,LIXIT,12,$84.94,AAA
0479,*MAMILA S/REP. 118 ML.(OF),$46.77,25,LIXIT,12,$93.52,AAA
0476,*MAMILA C/REP. 56 ML.(OF),$82.35,3,LIXIT,12,$164.52,AA
FL7906,BIBERON NURSING 56 ML.,$21.88,83,LOMAS,24,$43.77,AAA
FL3774,SPRAY DENTAL 125 ML,$30.40,5,LOMAS,,$60.80,AAA
FL3783,SPRAY DENTAL ULTRA 125 ML,$34.04,2,LOMAS,,$68.09,AAA
FL3904,REFRESCANTE DE ALIENTO 350 ML,$47.43,3,LOMAS,,$94.86,AAA
FL3907,PASTA DENTAL P/PERRO 90 GRS,$48.63,4,LOMAS,,$97.27,AAA
FL3938,UNGUENTO HIDRATANTE 40G.,$53.49,4,LOMAS,,$106.99,AAA
FL3905,KIT DENTAL - PASTA Y CEPILLO,$65.69,20,LOMAS,,$131.38,AAA
FL3868,SUST.LECHE CACHORRO 450G,$144.76,4,LOMAS,,$289.53,AAA
FL3929,TABLETAS P/PIEL Y PELAJE 60 PZ.,$241.97,4,LOMAS,,$483.95,AAA
MM619,ANTIFUCHI 1 LT. QUITA OLORES,$102.40,2,MEDICAL CO,1,$204.80,AA
50629,MANO MASAJEADORA PUNTA METAL,$58.13,6,MICARDA,1,$116.27,AAA
ZGH15,MANOPLA QUITAPELOS 13 X 9X 25 CM.,$15.17,1122,MYPET,500,$30.24,AAA
FH06,GUANTE QUITAPELOS 22 X 16 CM.,$37.57,762,MYPET,350,$75.07,AAA
15101-S,*SALVAVIDAS P/PERROS CH.(OF),$226.46,32,MYPET,100,$452.80,AAA
15101-M,*SALVAVIDAS PARA PERROS M.(OF),$333.40,30,MYPET,100,$666.23,AAA
15101-L,*SALVAVIDAS PARA PERROS G.(OF),$363.04,35,MYPET,100,$725.86,AAA
TR1986,REPELENTE DE INSECTOS 250 ML,$67.53,19,TORNADO,21,$135.07,AAA
TR1771,REFRESCANTE DE ALIENTO 250 ML,$74.27,7,TORNADO,21,$148.54,AAA
VNFS1,CUCHARA MEDIDORA MED.,$51.07,3,VAN NESS,1,$102.14,AAA
VNFS2,CUCHARA MEDIDORA GDE.,$59.89,4,VAN NESS,1,$119.78,AAA
P575,P.CRYSTIANDOG 250ML MACHOS,$110.87,79,BIOMAA,12,$221.74,AAA
P574,P.CRYSTIANDOG 250ML HEMBRAS,$110.87,95,BIOMAA,12,$221.74,AAA
FL3917,LIMPIADOR D/ACCION ENZIMATICA 1 L,$139.94,11,NATURANCE,12,$279.88,AAA
TR1573,QUITAOLORES 1L LAVANDA,$38.11,9,TORNADO,12,$76.23,AAA
TR1955,LOCION AROMA CHICLE 250 ML.,$64.83,24,TORNADO,21,$129.66,AAA
TR1757,LOCION CACHORRO 250 ML,$81.03,6,TORNADO,9,$162.07,AAA
TR1696,LOCION HEMBRA 250 ML ETERNETY,$81.03,18,TORNADO,21,$162.07,AAA
TR1726,LOCION MACHO 250 ML DRAKKAR,$81.03,22,TORNADO,21,$162.07,AAA
TR1740,LOCION MACHO 250 ML TOMMY,$81.03,25,TORNADO,21,$162.07,AAA
TR1719,LOCION HEM. 250 ML CAR.HERRERA,$81.03,62,TORNADO,21,$162.07,AAA
TR2143,LOCION MACHO 1 LT DRAKKAR,$175.27,13,TORNADO,9,$350.55,AAA
TR2136,LOCION HEMBRA 1 LT CAR.HERRERA,$219.10,4,TORNADO,21,$438.20,AAA
TR2174,LOCION CACHORRO 1 LT,$219.10,16,TORNADO,15,$438.20,AAA
MP5957,*SUETER POLAR LISO T-0,$49.04,43,MYPET,1,$98.08,AAA
HP2547,*SUDADERA GORRO PERRO #0,$50.80,13,MYPET,,$101.59,AAA
MP5958,*SUETER POLAR LISO T-1,$58.64,4,MYPET,1,$117.29,AAA
HP2549,*SUDADERA GORRO PERRO #2,$68.38,7,MYPET,,$136.76,AAA
MP5959,*SUETER POLAR LISO T-2,$68.41,4,MYPET,1,$136.83,AAA
MP5960,*SUETER POLAR LISO T-3,$75.52,7,MYPET,1,$151.05,AAA
HP2550,*SUDADERA GORRO PERRO #3,$79.56,1,MYPET,,$159.12,AAA
MP5961,*SUETER POLAR LISO T-4,$85.97,3,MYPET,1,$171.95,AAA
P531,SHAMPOO PUPPY 250 ML,$29.10,9,BIOMAA,12,$58.20,AAA
P740,SHAMPOO PELO DORADO 250 ML.,$29.10,14,BIOMAA,24,$58.20,AAA
P534,SHAMPOO PELO BCO.250 ML.,$29.10,17,BIOMAA,24,$58.20,AAA
P533,SHAMPOO PELO NEG.250 ML.,$29.10,22,BIOMAA,24,$58.20,AAA
P536,SHAMPOO GENERAL 250 ML.,$29.10,40,BIOMAA,24,$58.20,AAA
P532,SHAMPOO Y ACOND. 250 ML,$30.12,5,BIOMAA,24,$60.25,AAA
P741,SHAMPOO C/VIT.250 ML.,$30.12,19,BIOMAA,24,$60.25,AAA
P537,SHAMPOO GRAL. 500 ML,$41.29,7,BIOMAA,24,$82.59,AAA
P552,S. ANTIPULGAS PUPPY 250 ML,$50.28,22,BIOMAA,24,$116.64,AAA
P551,S. ANTIPULGAS 250 ML.,$50.28,27,BIOMAA,24,$116.64,AAA
P521,SHAMPOO PELO NEG.500 ML.,$58.01,8,BIOMAA,24,$116.02,AAA
P522,SHAMPOO PELO BLANCO 500 ML,$58.11,4,BIOMAA,24,$116.23,AAA
P555,SHAMPOO GENERAL 10L,$540.50,1,BIOMAA,1,"$1,081.00",AA
P559,SHAMPOO/ACOND 10L,$796.87,1,BIOMAA,1,"$1,593.74",AA
P728,SHAMPOO ANTIPULGAS 10L,"$1,197.28",2,BIOMAA,1,"$2,777.68",AA
6143,SHAMPOO ANTIPULGAS 250 ML.,$67.44,18,CLEAN GUAR,1,$156.46,AAA
FL3963,SHAMPOO P/PELO BLANCO 250 ML,$31.59,2,FANCY PETS,1,$63.19,AAA
FL3960,SHAMPOO USO GENERAL 250 ML,$31.61,4,FANCY PETS,1,$63.22,AAA
FL3967,SHAMPOO ANTIPULGAS 250 ML,$34.03,14,FANCY PETS,1,$68.06,AAA
FL3968,SHAMPOO P/CACHORRO 250 ML,$34.04,7,FANCY PETS,1,$68.09,AAA
FL3969,SHAMPOO P/PIEL SENSIBLE 250 ML,$35.26,7,FANCY PETS,1,$70.52,AAA
FL3994,SHAMPOO P/PELO CORTO EXPERT 500 ML,$75.38,1,FANCY PETS,1,$150.77,AAA
FL3995,SHAMPOO CONTROL CAIDA EXPERT 500 ML,$82.68,1,FANCY PETS,1,$165.37,AAA
ZZ91858,S. ANTIPULGAS Y G. 532 ML.,$113.68,5,HARTZ,12,$227.36,AAA
MARV503,SHAMPOO USO GRAL. UVA 4 L.,$265.19,2,KISIE,1,$530.39,AA
MARV502,SHAMPOO REPELENTE COCO 4 L.,$328.27,2,KISIE,1,$761.58,AA
MARV504,SHAMPOO Y ACOND. 2 EN 1 4L.,$368.55,1,KISIE,1,$737.11,AA
FL3924,SPRAY ANTIPULGAS 250ML.,$55.63,3,LOMAS,,$111.26,AAA
FL3942,ESPUMA P/BAÑO EN SECO 300 GR,$108.26,4,LOMAS,,$216.52,AAA
MARV401,SHAMPOO AVENA  250 ML,$49.64,13,MARVELL,35,$115.16,AAA
TK210-1,PISO P/TRANS. TK210(OF),$26.19,16,CAGELAND,1,$52.12,A
TK220-1,PISO P/TRANS. TK220(OF),$30.35,126,CAGELAND,1,$60.06,A
TK221-1,PISO P/TRANS. TK221(OF),$44.49,70,CAGELAND,1,$88.37,A
TK210,TRANS. 51X34X30 CM.(OF),$391.89,9,CAGELAND,6,$783.78,AAA
TK220,TRANS. 57X37X33 CM.(OF),$451.55,1,CAGELAND,6,$902.61,AAA
TK221,TRANS.PLAS.60X38X39 C/RUEDAS(OF),$518.09,58,CAGELAND,4,"$1,036.03",AAA
10200,TRANSPORTADORA 45X32X27 CM.,$326.33,2,DURAPETS,1,$652.66,AAA
MP011401,TRANS.PUERTA METAL PRATIKO1,$383.03,3,FANCY PETS,1,$766.06,AAA
MP011402,TRANS.PUERTA METAL PRATIKO2,$473.02,5,FANCY PETS,1,$946.04,AAA
ASA161,TRANS. P/PERRO RECTANGULAR,$611.99,2,MYPET,1,"$1,223.96",AAA
ASA159,TRANS.P/PERRO CUADRADA MOCHILA,$611.99,3,MYPET,1,"$1,223.96",AAA
ASA162,TRANS. P/PERROS Y GATOS CUADRADA,$611.99,3,MYPET,1,"$1,223.96",AAA
1004,TRANSPORTADORA PLAS.81X58X61(OF),"$2,063.71",2,MYPET,3,"$4,127.40",AAA
7634,TRANSPORTADORA 54X36X33 CM.,$368.40,1,SEVENPET,1,$736.80,AAA
1364,TRANS.2 PUERTAS 49X33X30 CM.,$433.48,2,SEVENPET,1,$866.96,AAA
1370,TRANS. 63X41X40 CM.,$722.46,6,SEVENPET,3,"$1,444.91",AAA
B300,TORTUGUETAS MINIBITS 20 GR.,$16.62,23,PETMMAL,120,$33.24,AAA
B401,TORTUGUETAS VEGETAL 60 GR.,$21.37,1,PETMMAL,1,$42.75,AAA
B101,TORTUGUETA NORMAL 60 GR.,$21.37,37,PETMMAL,48,$42.75,AAA
B201,TORTUGUETAS INICIO 60 GR.,$21.37,41,PETMMAL,48,$42.75,AAA
B301,TORTUGUETAS MINIBITS 60 GR.,$21.37,60,PETMMAL,48,$42.75,AAA
B701,IGUANA BITS PELLETS 60 GR.,$21.37,87,PETMMAL,48,$42.75,AAA
B702,IGUANA BITS 120 GR.,$30.87,11,PETMMAL,40,$61.75,AAA
B310,TORTUGUETA MINIBITS 100G,$34.45,44,PETMMAL,25,$68.90,AAA
B202,TORTUGUETAS INICIO 120 GR.,$36.81,35,PETMMAL,40,$73.63,AAA
B403,TORTUGUETAS VEGETAL 300 GR,$64.14,4,PETMMAL,6,$128.29,AAA
B303,TORTUGUETAS MINIBITS 300 GR.,$68.89,2,PETMMAL,6,$137.78,AAA
B203,TORTUGUETAS INICIO 300 GR.,$68.90,1,PETMMAL,6,$137.80,AAA
B503,TORTUGUETAS JUMBO 300 GR.,$80.78,1,PETMMAL,6,$161.56,AAA
B104,TORTUGUETA NORMAL 700 GR.,$98.60,1,PETMMAL,1,$197.20,AAA
T131,TORTOO BABY 18 GR.,$12.19,79,BIOMAA,160,$24.38,AAA
T130,TURTOO TEEN 100 G / 3.52 OZ,$15.11,11,BIOMAA,15,$30.22,AAA
T121,TURTOO TEEN 40 GR.,$18.69,466,BIOMAA,72,$37.39,AAA
T117,TURTOO BABY 50 GR.,$21.15,78,BIOMAA,72,$42.31,AAA
EX067,GRILLO LIOFILIZADO 50 GR.,$187.34,3,EXOTICS,1,$434.62,AAA
FL4003,ALIMENTO P/IGUANA JUVENIL 350 G,$57.15,1,FANCY PETS,1,$114.28,AAA
HP311,TORTUPET ADULTA 100 GR.,$10.90,4437,HOBBY PET,50,$21.80,AAA
AS002,GAMBITAS #4 40 ML. AL.SECO,$11.81,57,HOBBY PET,,$27.39,AAA
AS006,GAMBITAS #14 250 ML.AL.SECO,$56.01,23,HOBBY PET,,$129.94,AAA
FL4002,ALIMENTO IGUANA JUVENIL 700 G.,$102.17,2,LOMAS,1,$204.34,AAA
TE16598,AL.REPTOMIN BABY 26 GR.,$63.25,2,TETRA,,$126.50,AA
TE29252,AL.REPTOMIN STICKS 55 GR.,$66.89,2,TETRA,,$133.79,AA
TE29254,AL.REPTOMIN STICKS 110 GR.,$115.55,1,TETRA,,$231.11,AA
TE16255,AL.REPTOMIN STICKS 300 GR.,$254.13,2,TETRA,,$508.26,AAA
WAT041,REPTILE STICKS BABY 28 GRS,$10.95,69,WARDLEY,1,$21.90,AAA
WAT020,MINI TURTLE BITES 90 GRS,$17.63,8,WARDLEY,1,$35.26,AAA
WAT01,*AL.P/TORTUGAS BITES 90 GR.,$17.63,143,WARDLEY,70,$35.26,AAA
WAT052,*AL.REPTIL STICKS 70 GR.,$17.63,346,WARDLEY,70,$35.26,AAA
